,0
259,Desert Eagle | Light Rail (Field-Tested)
260,AWP | Worm God (Field-Tested)
261,Elite Trapper Solman | Guerrilla Warfare
262,AWP | Worm God (Minimal Wear)
263,Antwerp 2022 Contenders Sticker Capsule
264,Special Agent Ava | FBI
265,MP9 | Mount Fuji (Field-Tested)
266,AK-47 | Point Disarray (Minimal Wear)
267,AWP | Capillary (Minimal Wear)
268,AWP | Worm God (Factory New)
269,AK-47 | Slate (Factory New)
270,Glock-18 | Neo-Noir (Well-Worn)
271,Desert Eagle | Printstream (Battle-Scarred)
272,MAC-10 | Neon Rider (Field-Tested)
273,USP-S | Cyrex (Minimal Wear)
274,M4A1-S | Mecha Industries (Field-Tested)
275,Markus Delrow | FBI HRT
276,Nova | Predator (Field-Tested)
277,M4A4 | Neo-Noir (Minimal Wear)
278,Desert Eagle | Trigger Discipline (Field-Tested)
279,Lt. Commander Ricksaw | NSWC SEAL
280,MP7 | Neon Ply (Field-Tested)
281,AWP | PAW (Factory New)
282,Glock-18 | Candy Apple (Factory New)
283,AK-47 | Nightwish (Well-Worn)
284,Ground Rebel  | Elite Crew
285,M4A4 | The Emperor (Field-Tested)
286,Name Tag
287,AK-47 | Head Shot (Well-Worn)
288,Osiris | Elite Crew
289,Rio 2022 Dust II Souvenir Package
290,PP-Bizon | Sand Dashed (Well-Worn)
291,AK-47 | Point Disarray (Battle-Scarred)
292,Maximus | Sabre
293,Glock-18 | Moonrise (Field-Tested)
294,Galil AR | Chromatic Aberration (Field-Tested)
295,MP9 | Starlight Protector (Field-Tested)
296,M4A4 | Spider Lily (Field-Tested)
297,Safecracker Voltzmann | The Professionals
298,"Music Kit | The Verkkars, EZ4ENCE"
299,USP-S | Ticket to Hell (Battle-Scarred)
300,AUG | Stymphalian (Field-Tested)
301,USP-S | Check Engine (Minimal Wear)
302,Sticker | MOUZ | Paris 2023
303,Rio 2022 Challengers Sticker Capsule
304,Sticker | Complexity Gaming (Holo) | Paris 2023
305,M4A4 | Evil Daimyo (Minimal Wear)
306,StatTrak™ USP-S | Ticket to Hell (Field-Tested)
307,StatTrak™ AK-47 | Slate (Field-Tested)
308,AK-47 | Frontside Misty (Minimal Wear)
309,Glock-18 | Vogue (Minimal Wear)
310,Soldier | Phoenix
311,MP5-SD | Phosphor (Field-Tested)
312,AK-47 | Rat Rod (Field-Tested)
313,Enforcer | Phoenix
314,USP-S | Forest Leaves (Field-Tested)
315,P250 | Visions (Field-Tested)
316,Desert Eagle | Crimson Web (Field-Tested)
317,M4A1-S | Decimator (Field-Tested)
318,M4A1-S | Basilisk (Field-Tested)
319,Desert Eagle | Meteorite (Factory New)
320,10 Year Birthday Sticker Capsule
321,M4A1-S | Player Two (Field-Tested)
322,FAMAS | Mecha Industries (Field-Tested)
323,SCAR-20 | Carbon Fiber (Factory New)
324,Glock-18 | Bullet Queen (Well-Worn)
325,P250 | See Ya Later (Field-Tested)
326,Sticker | ZywOo (Champion) | Paris 2023
327,M4A1-S | Night Terror (Factory New)
328,AWP | Neo-Noir (Minimal Wear)
329,USP-S | The Traitor (Field-Tested)
330,AK-47 | The Empress (Battle-Scarred)
331,Espionage Sticker Capsule
332,Desert Eagle | Code Red (Field-Tested)
333,P2000 | Amber Fade (Factory New)
334,AWP | Neo-Noir (Battle-Scarred)
335,P250 | Asiimov (Field-Tested)
336,Vypa Sista of the Revolution | Guerrilla Warfare
337,AK-47 | Ice Coaled (Factory New)
338,M4A4 | Desolate Space (Well-Worn)
339,Glock-18 | Water Elemental (Minimal Wear)
340,USP-S | Flashback (Field-Tested)
341,Prof. Shahmat | Elite Crew
342,AWP | PAW (Field-Tested)
343,Sir Bloody Darryl Royale | The Professionals
344,The Elite Mr. Muhlik | Elite Crew
345,R8 Revolver | Llama Cannon (Minimal Wear)
346,Glock-18 | Wasteland Rebel (Field-Tested)
347,Sticker | Ten Years (Foil)
348,MAG-7 | Monster Call (Field-Tested)
349,"Music Kit | The Verkkars & n0thing, Flashbang Dance"
350,AUG | Stymphalian (Field-Tested)
351,USP-S | Check Engine (Minimal Wear)
352,Sticker | MOUZ | Paris 2023
353,Rio 2022 Challengers Sticker Capsule
354,Sticker | Complexity Gaming (Holo) | Paris 2023
355,M4A4 | Evil Daimyo (Minimal Wear)
356,StatTrak™ USP-S | Ticket to Hell (Field-Tested)
357,StatTrak™ AK-47 | Slate (Field-Tested)
358,AK-47 | Frontside Misty (Minimal Wear)
359,Glock-18 | Vogue (Minimal Wear)
360,Soldier | Phoenix
361,MP5-SD | Phosphor (Field-Tested)
362,AK-47 | Rat Rod (Field-Tested)
363,Enforcer | Phoenix
364,USP-S | Forest Leaves (Field-Tested)
365,P250 | Visions (Field-Tested)
366,Desert Eagle | Crimson Web (Field-Tested)
367,M4A1-S | Decimator (Field-Tested)
368,M4A1-S | Basilisk (Field-Tested)
369,Desert Eagle | Meteorite (Factory New)
370,10 Year Birthday Sticker Capsule
371,M4A1-S | Player Two (Field-Tested)
372,FAMAS | Mecha Industries (Field-Tested)
373,SCAR-20 | Carbon Fiber (Factory New)
374,Glock-18 | Bullet Queen (Well-Worn)
375,P250 | See Ya Later (Field-Tested)
376,Sticker | ZywOo (Champion) | Paris 2023
377,M4A1-S | Night Terror (Factory New)
378,AWP | Neo-Noir (Minimal Wear)
379,USP-S | The Traitor (Field-Tested)
380,AK-47 | The Empress (Battle-Scarred)
381,Espionage Sticker Capsule
382,Desert Eagle | Code Red (Field-Tested)
383,P2000 | Amber Fade (Factory New)
384,AWP | Neo-Noir (Battle-Scarred)
385,P250 | Asiimov (Field-Tested)
386,Vypa Sista of the Revolution | Guerrilla Warfare
387,AK-47 | Ice Coaled (Factory New)
388,M4A4 | Desolate Space (Well-Worn)
389,Glock-18 | Water Elemental (Minimal Wear)
390,USP-S | Flashback (Field-Tested)
391,Prof. Shahmat | Elite Crew
392,AWP | PAW (Field-Tested)
393,Sir Bloody Darryl Royale | The Professionals
394,The Elite Mr. Muhlik | Elite Crew
395,R8 Revolver | Llama Cannon (Minimal Wear)
396,Glock-18 | Wasteland Rebel (Field-Tested)
397,Sticker | Ten Years (Foil)
398,MAG-7 | Monster Call (Field-Tested)
399,"Music Kit | The Verkkars & n0thing, Flashbang Dance"
400,USP-S | Black Lotus (Field-Tested)
401,StatTrak™ M4A1-S | Emphorosaur-S (Field-Tested)
402,Stockholm 2021 Legends Sticker Capsule
403,Street Soldier | Phoenix
404,MAC-10 | Last Dive (Field-Tested)
